"an" "mp" "mp2.5" "mp97.5" "param2.5" "param97.5" "tot2.5" "tot97.5"
1925 6804.99 6704.47 7334.4 6400.77 7305.24 6393.28 7289.12
1926 7952.06 7826.85 8479.59 7416.01 8516.8 7417.75 8529.66
1927 5891.68 5781.49 6399.78 5475.78 6503.85 5453.75 6501.25
1928 7809.03 7684.78 8434.01 7333.77 8586.33 7330.04 8590.4
1929 3515.92 3440.84 3988.93 3228.22 3934.22 3234.22 3945.36
1930 6838.64 6721.18 7456.25 6429.11 7423.38 6422.56 7431.16
1931 6505.33 6373.99 7144.63 6110.75 7032.71 6112.15 7048.76
1932 6488.85 6373.99 6999.86 6032.74 6992.12 6028 6977.38
1933 7862.54 7702.48 8590.49 7342.3 8557.89 7355.94 8555.11
1934 5035.42 4932.51 5580 4652.71 5538.06 4660.62 5517.22
1935 10445.46 10285.2 11128.22 9803.27 11204.79 9798.89 11205.58
1936 8446.24 8317.72 9054.1 7839.61 9219.48 7848.71 9219.56
1937 6857.32 6739.59 7467.93 6316.46 7573.54 6318.07 7581.14
1938 4931.77 4829.63 5457.11 4488.64 5485.14 4487.2 5498.66
1939 5395.23 5273.9 5955.77 4932.21 6104.41 4926.12 6110.93
1940 6342.54 6212.47 6806.76 5854.46 6939.64 5850.06 6941.5
1941 6722.85 6606.11 7241.94 6218.63 7399.77 6216.35 7396.21
1942 5750.62 5610.39 6285.9 5248.18 6328.59 5246.66 6360.65
1943 5813.41 5703.71 6277.36 5312.38 6464.63 5317.98 6464.74
1944 7441.26 7302.06 8018.5 6875.16 8235.6 6868.7 8236.37
1945 5487 5364.78 6059.9 5003.4 6170.3 5004.03 6165.78
1946 4714.03 4613.89 5198.68 4310.96 5280.26 4312.63 5296.01
1947 5860.7 5734.96 6358.88 5360.21 6498.48 5345.98 6490.09
1948 7319.4 7181.17 7955.06 6719.51 8216.96 6725.76 8209.97
1949 5533.13 5425.74 6124.12 5058.52 6132.97 5047.55 6145.95
1950 5971.68 5844.92 6457.29 5453.54 6620.54 5461.63 6612.74
1951 10031.8 9874.08 10826.11 9334.73 10992.18 9332.4 10977.97
1952 5038.03 4920.73 5550.02 4779.82 5721.16 4791.39 5710.06
1953 5458.1 5336.58 6021.16 5203.84 6092.57 5204.28 6089.25
1954 7736.2 7612.59 8321.47 7408.73 8407.35 7404.39 8393.4
1955 7860.64 7718.49 8513.76 7523.54 8611.23 7513.07 8610.71
1956 5630.18 5506.76 6151.67 5399.1 6179.81 5390.56 6190.77
1957 6135.57 6023.43 6693.59 5885.81 6652.03 5880.71 6645.51
1958 8411.54 8265.09 9036.86 8063.67 9000.1 8057.35 9030.21
1959 6692.75 6576.36 7218.56 6415.66 7221.6 6412.79 7216.4
1960 8374.83 8265.09 9037.82 8047.09 8971.41 8034.87 9000.99
1961 4562.52 4449.99 5010.96 4393.91 5039.09 4379.86 5031.12
1962 4436.01 4311.08 4864.53 4253.33 4827.46 4243.23 4824.22
1963 7885.8 7743.27 8421.19 7535.42 8577.69 7539.35 8561.17
1964 6120.12 6008.46 6633.95 5880.33 6662.18 5876.11 6675.78
1965 4999.93 4897.76 5540.79 4819.53 5560.23 4814.53 5567.87
1966 5387.56 5266.93 5827.33 5183.57 5860.25 5181.17 5859.26
1967 4115.14 4008.47 4646.66 3983.8 4758.67 3981.42 4753.25
